,City,Cloudiness,Country,Humidity,Temp,Lat,Lng,Wind Speed
0,tuktoyaktuk,75,CA,81,37.4,69.44,-133.03,13.87
1,avarua,85,CK,83,77,-21.21,-159.78,11.41
2,rikitea,0,PF,71,71.65,-23.12,-134.97,8.99
3,ushuaia,40,AR,56,42.8,-54.81,-68.31,17.22
4,mataura,100,NZ,89,48,-46.19,168.86,18.99
5,hermanus,0,ZA,23,72,-34.42,19.24,3
6,ancud,0,CL,87,50,-41.87,-73.83,14.99
7,roald,0,NO,81,44.6,62.58,6.12,6.93
8,ornskoldsvik,0,SE,89,35.6,63.29,18.72,3.36
9,alofi,20,NU,73,77,-19.06,-169.92,10.29
10,saint george,20,GR,100,60.8,39.45,22.34,1.25
11,gao,0,ML,15,87.03,16.28,-0.04,6.24
12,provideniya,40,RU,70,42.8,64.42,-173.23,6.71
13,anloga,20,GH,94,77,5.79,0.9,8.05
14,karaman,0,TR,57,66,37.18,33.22,2.51
15,linqiong,40,CN,68,78.01,30.42,103.46,2.24
16,half moon bay,1,US,39,81,37.46,-122.43,3.36
17,severo-kurilsk,85,RU,83,49.33,50.68,156.12,37.22
18,feni,100,BD,85,76.41,23.02,91.41,4.07
19,dikson,88,RU,90,35.4,73.51,80.55,7.85
20,port alfred,0,ZA,81,50,-33.59,26.89,1.01
21,vardo,1,US,87,64.4,39.62,-77.74,1.81
22,ilulissat,11,GL,59,33.8,69.22,-51.1,9.17
23,nikolskoye,79,RU,100,39,59.7,30.79,3.29
24,mahebourg,40,MU,88,78.01,-20.41,57.7,3.36
25,kruisfontein,0,ZA,27,65.75,-34,24.73,10.02
26,cayenne,0,GF,94,75.2,4.94,-52.33,2.33
27,koungheul,24,SN,83,76.8,13.98,-14.8,7.65
28,sirsa,19,IN,45,92.73,29.54,75.04,10.09
29,torbay,90,CA,100,57,47.66,-52.73,17.22
30,barrow,0,AR,74,53.1,-38.31,-60.23,3.58
31,jamestown,0,AU,24,72.45,-33.21,138.6,10.36
32,jumla,85,NP,46,69.17,29.28,82.18,5.46
33,butaritari,3,KI,75,83.39,3.07,172.79,13.53
34,arica,0,CL,71,55.4,-18.48,-70.32,4.7
35,zhenhai,40,CN,51,81,29.95,121.71,4.47
36,yellowknife,40,CA,72,32,62.45,-114.38,3.49
37,cape town,0,ZA,66,73,-33.93,18.42,3.36
38,chokurdakh,76,RU,70,31.64,70.62,147.9,9.55
39,lyngseidet,75,NO,87,50,69.58,20.21,13.87
40,clyde river,90,CA,100,35.6,70.47,-68.59,19.46
41,katsuura,40,JP,51,82.4,33.93,134.5,6.93
42,castro,0,CL,87,50,-42.48,-73.76,14.99
43,petropavlovsk-kamchatskiy,99,RU,47,55.4,53.05,158.65,13.42
44,barcelos,53,BR,92,74.23,-0.97,-62.93,1.16
45,ribas do rio pardo,78,BR,94,66.04,-20.45,-53.76,2.37
46,bredasdorp,0,ZA,81,48.2,-34.53,20.04,10.29
47,salalah,40,OM,78,82.4,17.01,54.1,8.05
48,baykit,80,RU,67,38.97,61.68,96.39,5.73
49,ranong,40,TH,70,89.6,9.96,98.62,1.12
50,thinadhoo,100,MV,70,83.48,0.53,72.93,10.07
51,airai,16,TL,57,84.15,-8.93,125.41,5.91
52,lorengau,75,PG,77,82.67,-2.02,147.27,6.85
53,makat,83,KZ,31,52.84,47.65,53.35,12.28
54,haines junction,99,CA,86,32.16,60.75,-137.51,3.67
55,cervo,100,BR,95,61.66,-22.19,-46.24,3.27
56,guerrero negro,2,MX,84,66.94,27.97,-114.04,8.57
57,huilong,17,CN,53,78.06,31.15,106.5,2.68
58,busselton,28,AU,31,73,-33.64,115.35,9.04
